rams_presto_usage.rpu_filedate,rams_presto_usage.rpu_line_number,rams_presto_usage.rpu_servdate,rams_presto_usage.rpu_trans_date,rams_presto_usage.rpu_farecard,rams_presto_usage.rpu_status,rams_presto_usage.rpu_usage_type,rams_presto_usage.rpu_or_dtype,rams_presto_usage.rpu_or_device,rams_presto_usage.rpu_or_presto_loc,rams_presto_usage.rpu_or_location,rams_presto_usage.rpu_or_ttime,rams_presto_usage.rpu_de_dtype,rams_presto_usage.rpu_de_device,rams_presto_usage.rpu_de_presto_loc,rams_presto_usage.rpu_de_location,rams_presto_usage.rpu_de_ttime,rams_presto_usage.rpu_ride_count,rams_presto_usage.rpu_loyalty,rams_presto_usage.rpu_deducted_fare,rams_presto_usage.rpu_xfer_credit,rams_presto_usage.rpu_xfer_company,rams_presto_usage.rpu_cashfare,rams_presto_usage.rpu_vehicle_id,rams_presto_usage.rpu_tripnumber,rams_presto_usage.rpu_uniclass,rams_presto_usage.rpu_go_trip,rams_presto_usage.rpu_or_trans_id,rams_presto_usage.rpu_de_trans_id,rams_presto_usage.rpu_route_no,rams_presto_usage.rpu_epurse_bal_old,rams_presto_usage.rpu_epurse_bal_new,rams_presto_usage.rpu_or_card_tsn,rams_presto_usage.rpu_de_card_tsn,rams_presto_usage.rpu_or_dev_tsn,rams_presto_usage.rpu_de_dev_tsn,rams_presto_usage.rpu_underpayment,rams_presto_usage.rpu_or_logical,rams_presto_usage.rpu_de_logical,rams_presto_usage.rpu_xfer_device,rams_presto_usage.rpu_xfer_regulation
20170101,9266,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,367652,0,C,DCS,1117404,324,72,09:00:00,DCS,1117404,252,02,09:32:00,1,7,0.0,0,0,8.35000038147,461,2784203,0,71281-4,2930254326,2930248852,71,61.4000015259,61.4000015259,1828,1829,2260,2286,0,DCS_01132,DCS_01132,NULL,0
20170101,9357,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,2142881,0,C,DCS,1117671,380,17,16:33:00,DCS,1117671,341,18,16:51:00,1,4,0.0,5,1,5.30000019073,286,2780694,0,18541-2,2930051852,2930082605,18,16.4300003052,16.4300003052,2064,2065,3776,3786,0,DCS_02856,DCS_02856,NULL,0
20170101,9380,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,504498,0,C,DCS,1117029,421,33,14:48:00,DCS,1117029,252,02,15:32:00,1,0,8.13000011444,0,0,9.14999961853,347,2782153,0,31492-4,2930257063,2930251527,31,17.75,39.6199989319,2293,2295,1909,1945,0,DCS_02917,DCS_02917,NULL,0
20170101,9594,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3897644,0,C,DCS,1117111,3532,91,18:37:00,DCS,1117111,4007,07,18:59:00,1,5,0.839999973774,0,0,6.90000009537,429,2784943,0,92650-2,2930018190,2930017886,92,170.020004272,169.179992676,1619,1620,1937,1955,0,DCS_02999,DCS_02999,NULL,0
20170101,9651,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,2170099,0,C,DCS,1117109,254,32,20:31:00,DCS,1117109,2355,27,21:27:00,1,0,8.07999992371,5,1,14.3999996185,427,2782024,0,30761-2,2930098217,2930088461,30,22.0799999237,14.0,401,402,1968,1975,0,DCS_02997,DCS_02997,1117317,0
20170101,9673,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3965737,0,C,DCS,1117085,201,64,21:26:00,DCS,1117085,4067,67,22:02:00,1,0,7.11000013351,0,0,8.0,403,2784140,0,68761-2,2930158789,2930156422,68,16.0900001526,108.980003357,1478,1480,2634,2642,0,DCS_02973,DCS_02973,NULL,0
20170101,9677,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4692591,0,C,DCS,1122522,211,05,21:48:00,DCS,1122522,2952,32,22:33:00,1,6,0.949999988079,0,0,7.84999990463,567,2782792,0,36811-2,2930023011,2930045491,36,18.25,17.2999992371,176,177,1642,1664,0,DCS_01596,DCS_01596,NULL,0
20170101,9858,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4786008,0,C,DCS,1117395,252,02,20:13:00,DCS,1117395,421,33,20:45:00,1,10,1.38999998569,5,1,9.14999961853,452,2782264,0,31781-2,2930085348,2930083504,31,8.32999992371,6.94000005722,771,772,3193,3201,0,DCS_01122,DCS_01122,NULL,0
20170101,9911,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,577126,0,C,FTP,132A87,48,111,09:58:00,FTP,1330C8,22,022,10:32:00,1,0,6.0,0,0,6.75,0,0,0,NULL,2930156704,2930153322,NULL,45.6399993896,39.6399993896,369,370,670,1359,0,FTP_1136,FTP_1101,NULL,0
20170101,9948,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,254132,0,C,DCS,1116810,341,18,20:26:00,DCS,1116810,252,02,21:21:00,1,0,5.71999979019,0,0,12.1000003815,593,2780492,2,16850-2,2930080079,2930089297,16,71.4300003052,65.7099990845,775,776,4042,4062,0,DCS_01651,DCS_01651,NULL,0
20170101,10174,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,198601,0,C,DCS,1117403,252,02,20:47:00,DCS,1117403,2952,32,21:40:00,1,0,2.84999990463,5,1,8.5,460,2782276,0,31805-2,2930055539,2930086290,31,101.300003052,98.4499969482,76,77,2021,2062,0,DCS_01130,DCS_01130,NULL,0
20170101,10395,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4321428,0,C,DCS,1116960,341,18,18:52:00,DCS,1116960,4020,20,19:56:00,1,0,9.27999973297,0,0,10.4499998093,278,2783346,0,47760-2,2930052765,2930018803,47,71.9400024414,62.6599998474,260,261,1627,1649,0,DCS_02848,DCS_02848,NULL,0
20170101,10583,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4135454,0,C,DCS,1117081,219,05,22:48:00,DCS,1117081,4090,90,23:24:00,1,6,0.0,0,0,6.80000019073,399,2784996,0,92841-2,2930118230,2930115069,92,10.6599998474,10.6599998474,1363,1364,2316,2331,0,DCS_02969,DCS_02969,NULL,0
20170101,10693,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4720784,0,C,FTP,1329B8,3,171,13:16:00,FTP,132F23,4,151,13:44:00,1,0,0.230000004172,5,1,5.55000019073,0,0,0,NULL,2929693523,2930184241,NULL,98.1999969482,76.6800003052,275,284,899,2255,0,FTP_1064,FTP_1074,1116810,0
20170101,10742,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,411589,0,C,DCS,1117813,229,19,18:16:00,DCS,1117813,550,60,18:25:00,1,7,0.0,5,1,5.59999990463,345,2783537,4,51771-2,2930013764,2930023152,51,42.2099990845,42.2099990845,2330,2331,2968,2970,0,DCS_01059,DCS_01059,1122491,0
20170101,10866,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,3871897,0,C,DCS,1117111,219,05,16:09:00,DCS,1117111,354,94,17:30:00,1,7,1.46000003815,0,0,10.4499998093,429,2784914,0,92541-2,2930019431,2930038236,92,28.7700004578,27.3099994659,2241,2242,1879,1915,0,DCS_02999,DCS_02999,NULL,0
20170101,11052,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,357952,0,C,FTP,1329DA,48,111,18:27:00,FTP,1329DC,39,031,16:24:00,1,0,3.07999992371,1,6,5.55000019073,0,0,3,NULL,2929871087,2930256006,NULL,29.8799991608,23.5200004578,98,107,3015,3614,0,FTP_1143,FTP_1118,1307282,0
20170101,11148,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,3550730,0,C,FTP,130010,55,021,15:26:00,FTP,132EF3,14,121,16:20:00,1,0,3.74000000954,0,0,7.90000009537,0,0,2,NULL,2930217947,2930248876,NULL,44.25,40.5099983215,187,188,214,3929,0,FTP_00480,FTP_1094,NULL,0
20170101,11184,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,4603063,0,C,DCS,1117400,552,74,17:37:00,DCS,1117400,502,76,18:03:00,1,7,1.20000004768,5,1,6.65000009537,457,2784173,0,70561-2,2930098336,2930093974,70,119.300003052,118.099998474,650,651,3759,3767,0,DCS_01127,DCS_01127,133070,0
