rams_presto_usage_temp.put_filedate,rams_presto_usage_temp.put_line_number,rams_presto_usage_temp.put_farecard,rams_presto_usage_temp.put_servdate,rams_presto_usage_temp.put_trans_date,rams_presto_usage_temp.put_trans_time,rams_presto_usage_temp.put_dtype,rams_presto_usage_temp.put_device,rams_presto_usage_temp.put_presto_loc,rams_presto_usage_temp.put_location,rams_presto_usage_temp.put_ttime,rams_presto_usage_temp.put_ride_count,rams_presto_usage_temp.put_loyalty,rams_presto_usage_temp.put_deducted_fare,rams_presto_usage_temp.put_xfer_credit,rams_presto_usage_temp.put_xfer_company,rams_presto_usage_temp.put_underpayment,rams_presto_usage_temp.put_vehicle_id,rams_presto_usage_temp.put_tripnumber,rams_presto_usage_temp.put_uniclass,rams_presto_usage_temp.put_go_trip,rams_presto_usage_temp.put_trans_id,rams_presto_usage_temp.put_route_no,rams_presto_usage_temp.put_epurse_bal_old,rams_presto_usage_temp.put_epurse_bal_new,rams_presto_usage_temp.put_card_tsn,rams_presto_usage_temp.put_dev_tsn,rams_presto_usage_temp.put_logical,rams_presto_usage_temp.put_xfer_device,rams_presto_usage_temp.put_xfer_regulation
20170104,1275,3717052,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,19:11:00,FTP,132A8A,22,022,19:11:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930565789,NULL,103.88999939,98.5899963379,754,3516,FTP_1104,NULL,0
20170104,1407,3738499,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,19:17:00,FTP,1329E9,43,131,19:17:00,1,0,5.30000019073,0,0,3.34999990463,0,0,0,NULL,2930340119,NULL,48.3899993896,43.0900001526,94,2436,FTP_1124,NULL,0
20170104,1483,3828840,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,15:58:00,DCS,1116710,511,31,15:58:00,1,0,5.30000019073,0,0,1.85000002384,606,2782933,0,40470-2,2929877029,40,21.3400001526,16.0400009155,217,415,DCS_01664,NULL,0
20170104,1491,3753155,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,18:57:00,DCS,1117825,3031,16,18:57:00,1,0,5.30000019073,0,4,6.59999990463,477,2783347,0,47760-4,2930299997,47,23.1900005341,17.8899993896,1401,1888,DCS_02676,1306773,0
20170104,1609,3821030,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,08:56:00,DCS,1116776,329,22,08:56:00,1,0,5.30000019073,0,0,2.75,482,2791829,0,27240-5,2930457094,27,32.1500015259,26.8500003815,476,1909,DCS_02664,NULL,0
20170104,1610,3821030,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,09:46:00,DCS,1116776,2770,05,09:46:00,1,0,5.30000019073,0,0,0.0,482,2791829,0,27240-5,2930454195,27,44.0999984741,38.7999992371,479,1916,DCS_02664,NULL,0
20170104,1664,3750127,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,13:13:00,FTP,132FF4,28,032,13:13:00,1,0,5.55000019073,0,0,4.40000009537,0,0,0,NULL,2929682882,NULL,47.9500007629,42.4000015259,1390,422,FTP_10323,NULL,0
20170104,1677,3826660,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,17:58:00,FTP,13309A,14,121,17:58:00,1,0,5.30000019073,0,0,4.34999990463,0,0,0,NULL,2930271581,NULL,71.1100006104,65.8099975586,86,1521,FTP_1093,NULL,0
20170104,1712,3817184,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,18:17:00,DCS,1116839,332,209,18:17:00,1,0,5.30000019073,0,0,1.45000004768,455,2781422,0,21700-2,2930049354,21,27.0499992371,21.75,250,3219,DCS_01125,NULL,0
20170104,1730,3813441,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,19:31:00,FTP,133176,22,022,19:31:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930573555,NULL,101.120002747,95.8199996948,119,3856,FTP_00541,NULL,0
20170104,1853,3814803,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,14:24:00,DCS,1117713,380,17,14:24:00,1,0,5.30000019073,0,1,0.0,504,2790655,0,18371-5,2930459490,18,9.90999984741,4.61000013351,154,3912,DCS_01193,1329B8,0
